,Unnamed: 0,USAF,WBAN,YEAR,MONTH,YEARMODA,TEMP,DEWP,WDSP,MAX,MIN,PRCP,DAY,CTRY,STATE,LAT,LON,ELEV(M),LBL
228,137656,727923,94225,2019,1,2019-01-16 00:00:00,45.2,40.6,8.5,53.1,37.0,0.02,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
229,137657,727923,94225,2019,2,2019-02-14 12:00:00,37.95,33.7,6.55,46.9,30.9,0.03,14.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
230,137658,727923,94225,2019,3,2019-03-16 00:00:00,47.0,39.4,6.0,55.9,37.0,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
231,137659,727923,94225,2019,4,2019-04-09 00:00:00,49.3,45.9,8.7,55.0,43.0,0.12,9.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
460,213889,726988,24219,2019,1,2019-01-16 00:00:00,37.5,33.0,2.5,46.0,32.0,0.0,16.0,US,WA,45.619,-121.166,71.6,"MUNICIPAL AIRPORT, WA, US<br>Elevation: 71.6 m"
461,213890,726988,24219,2019,2,2019-02-14 12:00:00,30.35,26.65,3.3,37.0,23.55,0.01,14.5,US,WA,45.619,-121.166,71.6,"MUNICIPAL AIRPORT, WA, US<br>Elevation: 71.6 m"
462,213891,726988,24219,2019,3,2019-03-16 00:00:00,41.0,31.8,2.9,53.1,28.9,0.0,16.0,US,WA,45.619,-121.166,71.6,"MUNICIPAL AIRPORT, WA, US<br>Elevation: 71.6 m"
463,213892,726988,24219,2019,4,2019-04-09 00:00:00,51.9,41.5,5.9,61.0,45.0,0.0,9.0,US,WA,45.619,-121.166,71.6,"MUNICIPAL AIRPORT, WA, US<br>Elevation: 71.6 m"
692,254921,727976,24217,2019,1,2019-01-16 00:00:00,41.2,34.1,3.9,51.1,30.0,0.0,16.0,US,WA,48.794,-122.537,45.4,"BELLINGHAM INTL AIRPORT, WA, US<br>Elevation: 45.4 m"
693,254922,727976,24217,2019,2,2019-02-14 12:00:00,34.4,20.8,6.949999999999999,43.55,25.0,0.005,14.5,US,WA,48.794,-122.537,45.4,"BELLINGHAM INTL AIRPORT, WA, US<br>Elevation: 45.4 m"
694,254923,727976,24217,2019,3,2019-03-16 00:00:00,46.0,35.3,3.3,59.0,32.0,0.0,16.0,US,WA,48.794,-122.537,45.4,"BELLINGHAM INTL AIRPORT, WA, US<br>Elevation: 45.4 m"
695,254924,727976,24217,2019,4,2019-04-09 00:00:00,48.9,40.8,5.6,57.0,44.1,0.05,9.0,US,WA,48.794,-122.537,45.4,"BELLINGHAM INTL AIRPORT, WA, US<br>Elevation: 45.4 m"
