,YEAR,MONTH,MIN,LAT,LON,ELEV(M),TEMP,DEWP,USAF,PRCP
0,2019,1,37.0,46.973,-123.93,3.7,45.2,40.6,727923,1.7011889
1,2019,2,30.9,46.973,-123.93,3.7,37.95,33.7,727923,0.41206545
2,2019,3,37.0,46.973,-123.93,3.7,47.0,39.4,727923,0.15245241
3,2019,4,43.0,46.973,-123.93,3.7,49.3,45.9,727923,0.0
4,2019,1,32.0,45.619,-121.166,71.6,37.5,33.0,726988,0.0
5,2019,2,23.55,45.619,-121.166,71.6,30.35,26.65,726988,0.0
6,2019,3,28.9,45.619,-121.166,71.6,41.0,31.8,726988,0.0
7,2019,4,45.0,45.619,-121.166,71.6,51.9,41.5,726988,0.0
8,2019,1,30.0,48.794,-122.537,45.4,41.2,34.1,727976,0.0
9,2019,2,25.0,48.794,-122.537,45.4,34.4,20.8,727976,0.0
10,2019,3,32.0,48.794,-122.537,45.4,46.0,35.3,727976,0.8496907
11,2019,4,44.1,48.794,-122.537,45.4,48.9,40.8,727976,0.5988972
12,2019,1,30.0,46.973,-122.903,57.3,40.4,37.7,727920,0.0
13,2019,2,26.35,46.973,-122.903,57.3,34.6,30.55,727920,0.0
14,2019,3,28.0,46.973,-122.903,57.3,44.3,33.5,727920,0.0
15,2019,4,39.0,46.973,-122.903,57.3,48.6,42.4,727920,0.14847556
16,2019,1,27.0,47.277,-121.337,1206.7,30.5,25.7,727815,0.8619187
17,2019,2,18.0,47.277,-121.337,1206.7,23.9,18.65,727815,1.132087
18,2019,3,28.0,47.277,-121.337,1206.7,35.6,23.9,727815,0.85053945
19,2019,4,33.1,47.277,-121.337,1206.7,37.6,32.1,727815,0.88324666
20,2019,1,24.1,46.568,-120.543,324.3,33.3,28.3,727810,0.16057967
21,2019,2,18.05,46.568,-120.543,324.3,25.05,17.35,727810,0.34777257
22,2019,3,26.1,46.568,-120.543,324.3,37.7,27.7,727810,0.43212697
23,2019,4,36.0,46.568,-120.543,324.3,50.2,35.0,727810,0.23042105
24,2019,1,33.1,47.238,-123.141,82.6,39.4,36.3,727925,0.0
25,2019,2,27.5,47.238,-123.141,82.6,34.95,29.4,727925,0.49672642
26,2019,3,28.0,47.238,-123.141,82.6,45.8,32.7,727925,0.5318655
27,2019,4,41.0,47.238,-123.141,82.6,49.4,42.3,727925,0.388307
28,2019,1,26.1,47.398,-120.201,374.6,31.1,26.7,727825,0.0
29,2019,2,14.0,47.398,-120.201,374.6,22.6,16.85,727825,0.0
30,2019,3,24.1,47.398,-120.201,374.6,36.7,26.3,727825,0.0
31,2019,4,39.0,47.398,-120.201,374.6,48.7,34.3,727825,0.16245876
32,2019,1,33.1,47.938,-124.555,56.4,42.9,35.8,727970,0.0
33,2019,2,26.15,47.938,-124.555,56.4,34.95,28.0,727970,0.25913593
34,2019,3,30.9,47.938,-124.555,56.4,44.5,36.3,727970,0.0
35,2019,4,41.0,47.938,-124.555,56.4,47.4,43.7,727970,0.0
36,2019,1,36.0,47.444,-122.314,112.8,44.1,36.2,727930,0.06685446
37,2019,2,31.0,47.444,-122.314,112.8,37.85,28.6,727930,0.0
38,2019,3,39.9,47.444,-122.314,112.8,49.3,35.1,727930,0.0
39,2019,4,45.0,47.444,-122.314,112.8,50.0,41.5,727930,0.0
40,2019,1,30.9,46.095,-118.287,355.4,35.4,28.9,727846,0.0
41,2019,2,22.55,46.095,-118.287,355.4,27.65,23.15,727846,0.17907658
42,2019,3,30.0,46.095,-118.287,355.4,37.7,29.7,727846,0.21321335
43,2019,4,45.0,46.095,-118.287,355.4,50.9,40.7,727846,0.18483487
44,2019,1,23.0,47.622,-117.528,717.2,30.5,26.6,727850,0.0
45,2019,2,11.9,47.622,-117.528,717.2,21.8,14.35,727850,0.006851581
46,2019,3,21.9,47.622,-117.528,717.2,35.1,25.2,727850,0.3924679
47,2019,4,34.0,47.622,-117.528,717.2,45.0,34.6,727850,0.5237926
48,2019,1,27.0,47.034,-120.53,538.3,33.5,29.1,727883,0.12588896
49,2019,2,14.0,47.034,-120.53,538.3,28.200000000000003,17.3,727883,0.0
50,2019,3,25.0,47.034,-120.53,538.3,37.7,27.1,727883,0.0
51,2019,4,39.0,47.034,-120.53,538.3,48.1,36.1,727883,0.0
52,2019,1,28.9,46.267,-119.117,124.1,36.6,32.1,727845,0.0
53,2019,2,16.0,46.267,-119.117,124.1,25.8,21.8,727845,0.0
54,2019,3,21.9,46.267,-119.117,124.1,33.2,28.2,727845,0.0
55,2019,4,44.1,46.267,-119.117,124.1,54.6,39.8,727845,0.04667026
56,2019,1,34.0,47.53,-122.301,5.5,43.7,37.2,727935,0.0
57,2019,2,30.0,47.53,-122.301,5.5,37.75,29.5,727935,0.22731781
58,2019,3,39.0,47.53,-122.301,5.5,50.0,34.8,727935,0.2820511
59,2019,4,46.0,47.53,-122.301,5.5,51.5,41.3,727935,0.20036316
60,2019,1,36.0,46.117,-122.894,6.1,41.6,38.8,727924,0.050826594
61,2019,2,30.9,46.117,-122.894,6.1,36.65,33.7,727924,0.0
62,2019,3,32.0,46.117,-122.894,6.1,46.0,35.3,727924,0.0
63,2019,4,45.0,46.117,-122.894,6.1,50.7,44.8,727924,0.0
64,2019,1,26.1,47.208,-119.319,364.5,34.1,29.5,727827,0.0
65,2019,2,15.1,47.208,-119.319,364.5,25.15,16.05,727827,0.23001505
66,2019,3,23.0,47.208,-119.319,364.5,33.7,25.2,727827,0.19284464
67,2019,4,39.0,47.208,-119.319,364.5,52.1,37.6,727827,0.5377581
68,2019,1,22.8,47.633,-117.65,750.1,29.8,28.8,727855,0.0
69,2019,2,10.2,47.633,-117.65,750.1,21.25,16.950000000000003,727855,0.0
70,2019,3,23.5,47.633,-117.65,750.1,33.4,26.8,727855,0.0
71,2019,4,33.8,47.633,-117.65,750.1,44.5,37.2,727855,0.0
72,2019,1,26.1,47.308,-119.515,381.6,34.4,28.5,727900,0.0
73,2019,2,14.9,47.308,-119.515,381.6,23.75,16.2,727900,0.98629165
74,2019,3,25.0,47.308,-119.515,381.6,37.7,26.2,727900,0.9101732
75,2019,4,41.0,47.308,-119.515,381.6,51.3,35.6,727900,0.7296541
76,2019,1,37.0,48.35,-122.667,14.3,45.0,36.8,720749,0.13974841
77,2019,2,30.0,48.35,-122.667,14.3,38.75,28.3,720749,0.0
78,2019,3,35.1,48.35,-122.667,14.3,47.2,37.3,720749,0.0
79,2019,4,46.0,48.35,-122.667,14.3,51.6,42.1,720749,0.0
80,2019,1,30.0,47.15,-122.483,98.2,41.1,40.5,742060,0.7278641
81,2019,2,26.25,47.15,-122.483,98.2,35.55,33.75,742060,0.55779344
82,2019,3,28.8,47.15,-122.483,98.2,46.1,39.6,742060,0.4072464
83,2019,4,42.3,47.15,-122.483,98.2,50.1,46.6,742060,0.19900589
84,2019,1,32.2,46.306,-119.304,120.1,37.3,33.9,727884,9.199591
85,2019,2,20.45,46.306,-119.304,120.1,27.35,23.3,727884,9.215212
86,2019,3,26.6,46.306,-119.304,120.1,38.2,31.0,727884,9.17667
87,2019,4,46.6,46.306,-119.304,120.1,54.25,40.05,727884,9.169464
