,USAF,WBAN,YEAR,MONTH,YEARMODA,TEMP,DEWP,WDSP,MAX,MIN,PRCP,DAY,CTRY,STATE,LAT,LON,ELEV(M),LBL
137428,727923,94225,2000,1,2000-01-16 00:00:00,41.3,37.9,8.8,47.3,37.0,0.11,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137429,727923,94225,2000,2,2000-02-15 00:00:00,44.8,39.2,8.6,50.0,39.2,0.04,15.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137430,727923,94225,2000,3,2000-03-16 00:00:00,46.0,40.3,8.6,51.8,40.3,0.03,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137431,727923,94225,2000,4,2000-04-15 12:00:00,50.65,43.15,8.05,58.65,44.400000000000006,0.0,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137432,727923,94225,2000,5,2000-05-16 00:00:00,53.9,46.0,8.4,59.0,47.8,0.04,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137433,727923,94225,2000,6,2000-06-15 12:00:00,56.8,51.5,9.2,62.6,51.349999999999994,0.0,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137434,727923,94225,2000,7,2000-07-16 00:00:00,60.3,54.8,8.6,66.2,55.4,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137435,727923,94225,2000,8,2000-08-16 00:00:00,59.7,55.1,7.5,66.2,53.6,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137436,727923,94225,2000,9,2000-09-15 12:00:00,59.349999999999994,53.7,7.2,66.30000000000001,52.6,0.0,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137437,727923,94225,2000,10,2000-10-16 00:00:00,52.8,48.1,7.1,59.0,46.6,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137438,727923,94225,2000,11,2000-11-15 12:00:00,43.8,39.25,7.1,50.0,37.849999999999994,0.005,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137439,727923,94225,2000,12,2000-12-16 00:00:00,44.9,38.2,9.3,48.6,38.5,0.07,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137440,727923,94225,2001,1,2001-01-16 00:00:00,44.8,38.8,9.4,48.9,41.0,0.02,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137441,727923,94225,2001,2,2001-02-14 12:00:00,42.3,35.3,8.05,51.25,35.6,0.005,14.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137442,727923,94225,2001,3,2001-03-16 00:00:00,45.8,41.8,8.0,52.7,39.2,0.02,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137443,727923,94225,2001,4,2001-04-15 12:00:00,46.85,43.15,6.45,54.0,37.45,0.065,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137444,727923,94225,2001,5,2001-05-16 00:00:00,51.1,45.1,7.0,59.0,43.0,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137445,727923,94225,2001,6,2001-06-15 12:00:00,54.650000000000006,49.05,7.0,62.1,48.0,0.02,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137446,727923,94225,2001,7,2001-07-16 00:00:00,56.7,52.2,6.4,64.0,51.1,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137447,727923,94225,2001,8,2001-08-16 00:00:00,59.1,55.9,6.2,64.9,53.1,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137448,727923,94225,2001,9,2001-09-15 12:00:00,56.0,51.65,5.699999999999999,64.9,50.0,0.0,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137449,727923,94225,2001,10,2001-10-16 00:00:00,51.3,47.2,7.4,57.0,45.0,0.06,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137450,727923,94225,2001,11,2001-11-15 12:00:00,46.25,42.25,7.25,53.55,40.45,0.14500000000000002,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137451,727923,94225,2001,12,2001-12-16 00:00:00,41.2,36.8,9.8,48.2,35.1,0.19,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137452,727923,94225,2002,1,2002-01-16 00:00:00,43.6,40.3,9.5,46.9,37.4,0.19,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137453,727923,94225,2002,2,2002-02-14 12:00:00,42.5,37.75,9.149999999999999,48.9,35.55,0.135,14.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137454,727923,94225,2002,3,2002-03-16 00:00:00,42.6,36.7,7.7,50.0,35.1,0.03,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137455,727923,94225,2002,4,2002-04-15 12:00:00,46.95,41.8,7.55,53.6,36.95,0.01,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137456,727923,94225,2002,5,2002-05-16 00:00:00,49.5,44.9,7.1,57.0,43.0,0.02,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137457,727923,94225,2002,6,2002-06-15 12:00:00,55.95,52.9,7.35,63.0,49.45,0.0,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137458,727923,94225,2002,7,2002-07-16 00:00:00,59.1,55.6,7.0,66.9,53.1,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137459,727923,94225,2002,8,2002-08-16 00:00:00,57.4,53.5,6.8,66.0,50.0,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137460,727923,94225,2002,9,2002-09-15 12:00:00,57.400000000000006,53.349999999999994,5.4,64.9,46.9,0.01,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137461,727923,94225,2002,10,2002-10-16 00:00:00,51.5,48.4,5.8,59.0,43.0,0.0,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137462,727923,94225,2002,11,2002-11-15 12:00:00,49.099999999999994,46.45,8.75,55.9,39.9,0.015,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137463,727923,94225,2002,12,2002-12-16 00:00:00,43.0,41.2,9.1,48.9,37.9,0.21,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137464,727923,94225,2003,1,2003-01-16 00:00:00,46.1,44.7,9.8,53.1,41.0,0.14,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137465,727923,94225,2003,2,2003-02-14 12:00:00,42.2,38.400000000000006,7.1,51.1,33.1,0.0,14.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137466,727923,94225,2003,3,2003-03-16 00:00:00,46.4,44.2,8.5,52.0,41.0,0.31,16.0,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
137467,727923,94225,2003,4,2003-04-15 12:00:00,48.1,42.349999999999994,7.2,54.0,42.1,0.12,15.5,US,WA,46.973,-123.93,3.7,"BOWERMAN AIRPORT, WA, US<br>Elevation: 3.7 m"
